Brand,Name,Price,Connection,Power ,Battery Life,Buttons,Buttons Type,Size,Weight,Shape,DPI,Polling Rate,Category,Image,Link
Logitech ,G703 Lightspeed,1349000,Wireless ,Recharge,35 Hours,6,Clicky,Large,107,Ergonomic,25600,1000,Gaming,Logitech-G703Lightspeed.jpeg,https://tk.tokopedia.com/ZSBaSP4NB/
Logitech ,MX Master 3,1485000,Wireless ,Recharge,70 Days,7,Clicky,Large,142,Ergonomic,4000,125,Office,Logitech-MXMaster3.jpeg,https://tk.tokopedia.com/ZSBaSh2AP/
Logitech ,G304 Lightspeed,499000,Wireless ,Battery AA,250 Hours,4,Clicky,Medium,99,Symmetrical,12000,1000,Gaming,Logitech-G304Lightspeed.jpeg,https://tk.tokopedia.com/ZSBaSyT61/
Logitech ,M720 Triathlon,744000,Wireless ,Battery AA,24 Months,8,Clicky,Medium,135,Ergonomic,1000,125,Office,Logitech-M720Triathlon.jpeg,https://tk.tokopedia.com/ZSBaSrN1w/
Logitech ,MX Vertical,1247000,Wireless ,Recharge,4 Months,4,Clicky,Large,135,Vertical,4000,125,Office,Logitech-MXVertical.jpeg,https://tk.tokopedia.com/ZSBaSyXxE/
Logitech ,G102 Lightsync,289000,Wired,No Battery,No Battery,6,Clicky,Medium,85,Symmetrical,8000,1000,Gaming,Logitech-G102Lightsync.jpeg,https://tk.tokopedia.com/ZSBaSaJvX/
Logitech ,G705,1569000,Wireless ,Recharge,40 Hours,7,Clicky,Small,85,Ergonomic,8200,1000,Gaming,Logitech-G705.jpeg,https://tk.tokopedia.com/ZSBaSRTBs/
Logitech ,G903 Lightspeed,1519000,Wireless ,Recharge,140 Hours,11,Clicky,Large,110,Symmetrical,25600,1000,Gaming,Logitech-G903Lightspeed.jpeg,https://tk.tokopedia.com/ZSBaSeCYQ/
Logitech ,G Pro Wireless,1299000,Wireless,Recharge,48 Hours,5,Clicky,Large,80,Symmetrical,25600,1000,Gaming,Logitech-GProWireless.jpeg,https://tk.tokopedia.com/ZSBaS4UGN/
Logitech ,G Pro X Superlight,1699000,Wireless,Recharge,70 Hours,5,Clicky,Large,63,Symmetrical,25600,1000,Gaming,Logitech-GProXSuperlight.jpeg,https://tk.tokopedia.com/ZSBaSqDVp/
Logitech ,G Pro,599000,Wired,No Battery,No Battery,5,Clicky,Medium,85,Symmetrical,25600,1000,Gaming,Logitech-GPro.jpeg,https://tk.tokopedia.com/ZSBaSV7Gw/
Logitech ,G403,649000,Wired,No Battery,No Battery,5,Clicky,Large,87,Ergonomic,12000,1000,Gaming,Logitech-G403.jpeg,https://tk.tokopedia.com/ZSBaSGVXt/
Logitech ,G403 Hero,679000,Wired,No Battery,No Battery,5,Clicky,Large,87,Ergonomic,256000,1000,Gaming,Logitech-G403Hero.jpeg,https://tk.tokopedia.com/ZSBaSGVXt/
Logitech ,G203 Prodigy,269000,Wired,No Battery,No Battery,5,Clicky,Medium,85,Symmetrical,8000,1000,Gaming,Logitech-G203Prodigy.jpeg,https://tk.tokopedia.com/ZSBaSpQtP/
Logitech ,G305 Lightspeed,440100,Wireless,Recharge,240 Hours,6,Clicky,Medium,99,Symmetrical,12000,1000,Gaming,Logitech-G305Lightspeed.jpeg,https://tk.tokopedia.com/ZSBaS97d1/
Logitech ,G203 Lightsync,244000,Wired,No Battery,No Battery,6,Clicky,Medium,85,Symmetrical,8000,1000,Gaming,Logitech-G203Lightsync.jpeg,https://tk.tokopedia.com/ZSBaSQkTg/
Logitech ,G502 Hero,669000,Wired,No Battery,No Battery,11,Clicky,Large,121,Ergonomic,256000,1000,Gaming,Logitech-G502Hero.jpeg,https://tk.tokopedia.com/ZSBaSVAW9/
Logitech ,G502 Lightspeed,2149000,Wireless,Recharge,140 Hours,13,Clicky,Large,114,Ergonomic,256000,1000,Gaming,Logitech-G502Lightspeed.jpeg,https://tk.tokopedia.com/ZSBaSqdak/
Logitech ,M171,171000,Wireless,Battery AA,12 Months,2,Clicky,Small,71,Symmetrical,1000,125,Office,Logitech-M171.jpeg,https://tk.tokopedia.com/ZSBaSb42s/
Logitech ,G Pro X Superlight 2,2369000,Wireless,Recharge,95 Hours,5,Clicky,Large,60,Symmetrical,44000,8000,Gaming,Logitech-GProXSuperlight2.jpeg,https://tk.tokopedia.com/ZSBaSt91v/
Logitech ,G402 Hyperion Fury,499000,Wired,No Battery,No Battery,8,Clicky,Large,108,Ergonomic,4000,1000,Gaming,Logitech-G402HyperionFury.jpeg,https://tk.tokopedia.com/ZSBaSbdMX/
Logitech ,G300s,315000,Wired,No Battery,No Battery,9,Clicky,Medium,80,Symmetrical,2500,1000,Gaming,Logitech-G300s.jpeg,https://tk.tokopedia.com/ZSBaSVtKv/
Logitech ,G502 X Plus,2459000,Wireless,Recharge,130 Hours,13,Clicky,Large,106,Ergonomic,256000,1000,Gaming,Logitech-G502XPlus.jpeg,https://tk.tokopedia.com/ZSBaSttR2/
Logitech ,G502 X Lightspeed,2149000,Wireless,Recharge,140 Hours,13,Clicky,Large,100,Ergonomic,256000,1000,Gaming,Logitech-G502XLightspeed.jpeg,https://tk.tokopedia.com/ZSBaS9StU/
Logitech ,G502 X,1109000,Wired,No Battery,No Battery,13,Clicky,Large,89,Ergonomic,256000,1000,Gaming,Logitech-G502X.jpeg,https://tk.tokopedia.com/ZSBaAUuyW/
Logitech ,M185,188000,Wireless,Battery AA,12 Months,2,Clicky,Small,74,Symmetrical,1000,125,Office,Logitech-M185.jpeg,https://tk.tokopedia.com/ZSBaAAWAN/
Logitech ,M280,232000,Wireless,Battery AA,24 Months,2,Clicky,Medium,91,Ergonomic,1000,125,Office,Logitech-M280.jpeg,https://tk.tokopedia.com/ZSBaA1V5j/
Logitech ,M187,177500,Wireless,Battery AAA,6 Months,2,Clicky,Small,52,Symmetrical,1000,125,Office,Logitech-M187.jpeg,https://tk.tokopedia.com/ZSBaSoEAg/
Razer,Abyssus Essential,649000,Wired,No Battery,No Battery,2,Clicky,Medium,78,Symmetrical,7200,1000,Gaming,Razer-AbyssusEssential.jpeg,https://tk.tokopedia.com/ZSBaAe8tP/
